filename,emotion
dataset\Actor_01\03-01-01-01-01-01-01.wav,neutral
dataset\Actor_01\03-01-01-01-01-02-01.wav,neutral
dataset\Actor_01\03-01-01-01-02-01-01.wav,neutral
dataset\Actor_01\03-01-01-01-02-02-01.wav,neutral
dataset\Actor_01\03-01-02-01-01-01-01.wav,calm
dataset\Actor_01\03-01-02-01-01-02-01.wav,calm
dataset\Actor_01\03-01-02-01-02-01-01.wav,calm
dataset\Actor_01\03-01-02-01-02-02-01.wav,calm
dataset\Actor_01\03-01-02-02-01-01-01.wav,calm
dataset\Actor_01\03-01-02-02-01-02-01.wav,calm
dataset\Actor_01\03-01-02-02-02-01-01.wav,calm
dataset\Actor_01\03-01-02-02-02-02-01.wav,calm
dataset\Actor_01\03-01-03-01-01-01-01.wav,happy
dataset\Actor_01\03-01-03-01-01-02-01.wav,happy
dataset\Actor_01\03-01-03-01-02-01-01.wav,happy
dataset\Actor_01\03-01-03-01-02-02-01.wav,happy
dataset\Actor_01\03-01-03-02-01-01-01.wav,happy
dataset\Actor_01\03-01-03-02-01-02-01.wav,happy
dataset\Actor_01\03-01-03-02-02-01-01.wav,happy
dataset\Actor_01\03-01-03-02-02-02-01.wav,happy
dataset\Actor_01\03-01-04-01-01-01-01.wav,sad
dataset\Actor_01\03-01-04-01-01-02-01.wav,sad
dataset\Actor_01\03-01-04-01-02-01-01.wav,sad
dataset\Actor_01\03-01-04-01-02-02-01.wav,sad
dataset\Actor_01\03-01-04-02-01-01-01.wav,sad
dataset\Actor_01\03-01-04-02-01-02-01.wav,sad
dataset\Actor_01\03-01-04-02-02-01-01.wav,sad
dataset\Actor_01\03-01-04-02-02-02-01.wav,sad
dataset\Actor_01\03-01-05-01-01-01-01.wav,angry
dataset\Actor_01\03-01-05-01-01-02-01.wav,angry
dataset\Actor_01\03-01-05-01-02-01-01.wav,angry
dataset\Actor_01\03-01-05-01-02-02-01.wav,angry
dataset\Actor_01\03-01-05-02-01-01-01.wav,angry
dataset\Actor_01\03-01-05-02-01-02-01.wav,angry
dataset\Actor_01\03-01-05-02-02-01-01.wav,angry
dataset\Actor_01\03-01-05-02-02-02-01.wav,angry
dataset\Actor_01\03-01-06-01-01-01-01.wav,fearful
dataset\Actor_01\03-01-06-01-01-02-01.wav,fearful
dataset\Actor_01\03-01-06-01-02-01-01.wav,fearful
